Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C13, C14, C15, C17, C18, C3, C4, C9",0603,11,10uF,
"C16, C2",0603,2,1uF,
"C5, C6, C7",CP_Elec_6.3x5.4,3,100uF,
C8,0603,1,10nF,
"D1, D2, D3, D4",0603,4,5819,
"H1, H2, H3, H5",MountingHole_3.2mm_M3_Pad_Via,4,MountingHole_Pad,
"J10, J7, J8, J9",PinHeader_1x01_P2.54mm_Vertical,4,Conn_01x01,
"J11, J12",PinHeader_1x04_P2.54mm_Vertical,2,ISO OUT,
J2,PinHeader_1x03_P2.54mm_Vertical,1,PWR,
"J3, J4, J5, J6",PinHeader_1x02_P2.54mm_Vertical,4,REF,
JP1,0603 Jumper,1,GND BRIDGE,
R1,0603,1,R,
"R10, R12, R13, R6, R7, R9",0603,6,10R,
R11,0603 Jumper,1,10K,
"R14, R15, R4",0603,3,100K,
R2,0603,1,6K8,
R3,0603,1,5R1,
RN1,SOIC-16_3.9x9.9mm_P1.27mm,1,10K,
SW1,SW_SPST_B3U-1000P,1,RST,
U1,RPi_Pico_SMD_TH,1,Pico,
U11,SOT-89-3,1,7533,
U12,SOIC-8_3.9x4.9mm_P1.27mm,1,ADuM1201AR,
U2,SOP65P640X120-20N,1,AD5791BRUZ,AD5791BRUZ
U3,Analog_TO-46-4_ThermalShield,1,LM399,
"U5, U6",SOIC-8_3.9x4.9mm_P1.27mm,2,OPA189,
U7,SOIC-8_3.9x4.9mm_P1.27mm,1,OPA2140,
U8,SOT-89-3,1,78L15,
U9,SOT-89-3,1,79L15,
