Designator,Mid X,Mid Y,Rotation,Layer
C1,141.75,-100.75,180.0,top
C10,153.25,-91.75,180.0,top
C11,153.25,-106.75,180.0,top
C13,141.75,-94.5,0.0,top
C14,141.75,-109.5,0.0,top
C15,153.25,-84.0,0.0,top
C16,158.25,-129.25,45.0,top
C17,123.0,-94.25,270.0,top
C18,127.0,-105.75,90.0,top
C2,159.75,-117.5,90.0,top
C3,153.25,-103.0,0.0,top
C4,141.75,-99.25,180.0,top
C5,140.75,-126.25,270.0,top
C6,125.75,-126.25,90.0,top
C7,133.25,-126.25,270.0,top
C8,153.25,-109.5,0.0,top
C9,142.75,-86.0,270.0,top
D1,137.0,-121.0,270.0,top
D2,137.0,-117.5,90.0,top
D3,146.75,-117.5,90.0,top
D4,153.3375,-104.25,0.0,top
J10,124.25,-134.0,0.0,top
J11,143.69,-79.0,90.0,top
J12,116.0,-103.81,180.0,top
J2,116.25,-125.54,180.0,top
J3,142.02,-113.25,270.0,top
J4,154.52,-113.25,270.0,top
J5,124.48,-113.25,90.0,top
J6,131.98,-113.25,90.0,top
J7,124.25,-76.0,0.0,top
J8,158.25,-76.0,0.0,top
J9,158.25,-134.0,0.0,top
JP1,127.0,-94.25,90.0,top
R1,124.25,-105.75,90.0,top
R10,141.75,-108.25,0.0,top
R11,153.25,-108.25,0.0,top
R12,124.25,-94.25,270.0,top
R13,125.75,-105.75,90.0,top
R14,123.0,-105.75,270.0,top
R15,125.75,-94.25,90.0,top
R2,148.25,-117.5,270.0,top
R3,158.25,-117.5,270.0,top
R4,149.75,-117.5,90.0,top
R6,153.25,-90.5,180.0,top
R7,153.25,-105.5,180.0,top
R9,141.75,-93.25,0.0,top
RN1,132.5,-100.0,0.0,top
SW1,190.25,-106.25,180.0,top
U1,175.5,-105.0,0.0,top
U11,133.25,-118.75,270.0,top
U12,147.5,-86.0,0.0,top
U2,147.5,-100.0,90.0,top
U3,153.25,-122.98,270.0,top
U5,147.5,-92.5,0.0,top
U6,147.5,-107.5,0.0,top
U7,125.0,-100.0,90.0,top
U8,140.75,-118.75,270.0,top
U9,125.75,-118.75,270.0,top
